,sales,date,region
0,1638.0,2018-02-06,north
1,1647.0,2018-02-06,south
2,1731.0,2018-02-06,east
3,1557.0,2018-02-06,west
4,5794.2,2018-02-06,north
5,5294.7,2018-02-06,south
6,5754.24,2018-02-06,east
7,5794.2,2018-02-06,west
8,1305.0,2018-02-06,north
9,1400.0,2018-02-06,south
10,1457.5,2018-02-06,east
11,1380.0,2018-02-06,west
12,1629.0,2018-02-06,north
13,1722.0,2018-02-06,south
14,1731.0,2018-02-06,east
15,1509.0,2018-02-06,west
16,662.5,2018-02-06,north
17,682.5,2018-02-06,south
18,632.5,2018-02-06,east
19,698.75,2018-02-06,west
20,2659.67,2018-02-06,north
21,2834.32,2018-02-06,south
22,2774.44,2018-02-06,east
23,2859.27,2018-02-06,west
24,1082.56,2018-02-06,north
25,1148.23,2018-02-06,south
26,1058.68,2018-02-06,east
27,1164.15,2018-02-06,west
28,1587.0,2018-02-07,north
29,1698.0,2018-02-07,south
30,1542.0,2018-02-07,east
31,1635.0,2018-02-07,west
32,5054.9400000000005,2018-02-07,north
33,5114.88,2018-02-07,south
34,5234.76,2018-02-07,east
35,5584.41,2018-02-07,west
36,1485.0,2018-02-07,north
37,1490.0,2018-02-07,south
38,1342.5,2018-02-07,east
39,1310.0,2018-02-07,west
40,1599.0,2018-02-07,north
41,1641.0,2018-02-07,south
42,1503.0,2018-02-07,east
43,1644.0,2018-02-07,west
44,716.25,2018-02-07,north
45,681.25,2018-02-07,south
46,722.5,2018-02-07,east
47,630.0,2018-02-07,west
48,2799.3900000000003,2018-02-07,north
49,2899.19,2018-02-07,south
50,2744.5,2018-02-07,east
51,2524.94,2018-02-07,west
52,1030.82,2018-02-07,north
53,1068.6299999999999,2018-02-07,south
54,1110.42,2018-02-07,east
55,1066.64,2018-02-07,west
56,1602.0,2018-02-08,north
57,1536.0,2018-02-08,south
58,1503.0,2018-02-08,east
59,1701.0,2018-02-08,west
60,5894.1,2018-02-08,north
61,5004.99,2018-02-08,south
62,5144.85,2018-02-08,east
63,5134.86,2018-02-08,west
64,1397.5,2018-02-08,north
65,1375.0,2018-02-08,south
66,1392.5,2018-02-08,east
67,1285.0,2018-02-08,west
68,1800.0,2018-02-08,north
69,1626.0,2018-02-08,south
70,1605.0,2018-02-08,east
71,1530.0,2018-02-08,west
72,630.0,2018-02-08,north
73,661.25,2018-02-08,south
74,723.75,2018-02-08,east
75,638.75,2018-02-08,west
76,2495.0,2018-02-08,north
77,2594.8,2018-02-08,south
78,2679.63,2018-02-08,east
79,2994.0,2018-02-08,west
80,1124.35,2018-02-08,north
81,996.99,2018-02-08,south
82,1060.67,2018-02-08,east
83,995.0,2018-02-08,west
84,1758.0,2018-02-09,north
85,1662.0,2018-02-09,south
86,1782.0,2018-02-09,east
87,1515.0,2018-02-09,west
88,5964.03,2018-02-09,north
89,5834.16,2018-02-09,south
90,5524.47,2018-02-09,east
91,5834.16,2018-02-09,west
92,1485.0,2018-02-09,north
93,1420.0,2018-02-09,south
94,1390.0,2018-02-09,east
95,1447.5,2018-02-09,west
96,1764.0,2018-02-09,north
97,1620.0,2018-02-09,south
98,1629.0,2018-02-09,east
99,1674.0,2018-02-09,west
100,722.5,2018-02-09,north
101,647.5,2018-02-09,south
102,738.75,2018-02-09,east
103,656.25,2018-02-09,west
104,2819.35,2018-02-09,north
105,2994.0,2018-02-09,south
106,2864.26,2018-02-09,east
107,2549.8900000000003,2018-02-09,west
108,1018.88,2018-02-09,north
109,1074.6,2018-02-09,south
110,1144.25,2018-02-09,east
111,1030.82,2018-02-09,west
112,1662.0,2018-02-10,north
113,1557.0,2018-02-10,south
114,1650.0,2018-02-10,east
